Date  formatted_time  TrialNumber   timestep    value 
2025-02-10 15:38:27    1    0    0.681
2025-02-10 15:38:35    1    1    0.712
2025-02-10 15:38:36    1    2    0.714
2025-02-10 15:38:37    1    3    0.724
2025-02-10 15:38:38    1    4    0.728
2025-02-10 15:38:39    1    5    0.733
2025-02-10 15:38:40    1    6    0.740
2025-02-10 15:38:42    1    7    0.745
2025-02-10 15:38:43    1    8    0.748
2025-02-10 15:38:44    1    9    0.756
2025-02-10 15:38:45    1    10    0.761
2025-02-10 15:38:46    1    11    0.768
2025-02-10 15:38:47    1    12    0.770
2025-02-10 15:38:48    1    13    0.775
2025-02-10 15:38:50    1    14    0.781
Date  formatted_time  TrialNumber   timestep    value 
2025-02-10 15:39:36    2    0    0.690
2025-02-10 15:39:37    2    1    0.683
2025-02-10 15:39:39    2    2    0.685
2025-02-10 15:39:40    2    3    0.689
2025-02-10 15:39:41    2    4    0.694
2025-02-10 15:39:42    2    5    0.700
2025-02-10 15:39:43    2    6    0.706
2025-02-10 15:39:44    2    7    0.714
2025-02-10 15:39:45    2    8    0.718
2025-02-10 15:39:47    2    9    0@ 5
2025-02-10 15:39:48    2    10    0.734
2025-02-10 15:39:49    2    11    0.736
2025-02-10 15:39:50    2    12    0.745
2025-02-10 15:39:51    2    13    0.749
2025-02-10 15:39:52    2    14    0.758
Date  formatted_time  TrialNumber   timestep    value 
2025-02-10 15:40:32    3    0    0.690
2025-02-10 15:40:33    3    1    0.682
2025-02-10 15:40:34    3    2    0.683
2025-02-10 15:40:35    3    3    0.691
2025-02-10 15:40:37    3    4    0.694
2025-02-10 15:40:38    3    5    0.702
2025-02-10 15:40:39    3    6    0.706
2025-02-10 15:40:40    3    7    0.713
2025-02-10 15:40:41    3    8    0.719
2025-02-10 15:40:42    3    9    0.725
2025-02-10 15:40:43    3    10    0.729
2025-02-10 15:40:45    3    11    0.735
2025-02-10 15:40:46    3    12    0.739
2025-02-10 15:40:47    3    13    0.748
2025-02-10 15:40:48    3    14    0.757
Date  formatted_time  TrialNumber   timestep    value 
2025-02-10 15:42:22    1    0    0.682
2025-02-10 15:42:23    1    1    0.680
2025-02-10 15:42:25    1    2    0.680
2025-02-10 15:42:26    1    3    0.689
2025-02-10 15:42:27    1    4    0.695
Date  formatted_time  TrialNumber   timestep    value 
2025-02-10 15:42:42    2    0    0.684
2025-02-10 15:42:43    2    1    0.683
2025-02-10 15:42:44    2    2    0.681
2025-02-10 15:42:45    2    3    0.690
2025-02-10 15:42:46    2    4    0.695
